Dienstbeschreibung,Dienst-ID,Kosten (€),Sparprogramme (€),Andere Einsparungen (€),Ungerundete Zwischensumme (€),Zwischensumme (€),Prozentuale Änderung der Zwischensumme im Vergleich zum vorherigen Zeitraum
Compute Engine,6F81-5844-456A,"214,37","0,00","0,00","214,365634","214,37",710%
Cloud Monitoring,58CD-E7C3-72CA,"18,17","0,00","0,00","18,165761","18,17",904%
Kubernetes Engine,CCD8-9BF1-090E,"42,71","0,00","-27,91","14,792615","14,79",Neu
Networking,E505-1604-58F8,"18,85","0,00","-8,18","10,672806","10,67",1000%
Secret Manager,EE82-7A5E-871C,"0,18","0,00","0,00","0,178581","0,18",Neu
Cloud DNS,FA26-5236-B8B5,"0,12","0,00","0,00","0,123686","0,12",0%
Cloud Logging,5490-F7B7-8DF6,"0,00","0,00","0,00","0,003337","0,00",0%
Cloud Storage,95FF-2EF5-5EA1,"0,00","0,00","0,00","0,001748","0,00",0%
