Dienstbeschreibung,Dienst-ID,Kosten (€),Sparprogramme (€),Andere Einsparungen (€),Ungerundete Zwischensumme (€),Zwischensumme (€),Prozentuale Änderung der Zwischensumme im Vergleich zum vorherigen Zeitraum
Compute Engine,6F81-5844-456A,"233,18","0,00","0,00","233,182448","233,18",Neu
Cloud Monitoring,58CD-E7C3-72CA,"19,13","0,00","0,00","19,126839","19,13",Neu
Kubernetes Engine,CCD8-9BF1-090E,"54,90","0,00","-41,59","13,301981","13,30",Neu
Networking,E505-1604-58F8,"21,00","0,00","-9,74","11,264911","11,26",Neu
Cloud DNS,FA26-5236-B8B5,"0,25","0,00","0,00","0,248808","0,25",Neu
Secret Manager,EE82-7A5E-871C,"0,15","0,00","0,00","0,151278","0,15",Neu
Cloud Logging,5490-F7B7-8DF6,"0,00","0,00","0,00","0,004425","0,00",Neu
Cloud Storage,95FF-2EF5-5EA1,"0,00","0,00","0,00","0,001748","0,00",Neu
