Dienstbeschreibung,Dienst-ID,Kosten (€),Sparprogramme (€),Andere Einsparungen (€),Ungerundete Zwischensumme (€),Zwischensumme (€),Prozentuale Änderung der Zwischensumme im Vergleich zum vorherigen Zeitraum
Compute Engine,6F81-5844-456A,"10,50","0,00","0,00","10,501254","10,50",0%
Kubernetes Engine,CCD8-9BF1-090E,"2,06","0,00","0,00","2,061708","2,06",0%
Cloud Monitoring,58CD-E7C3-72CA,"0,98","0,00","0,00","0,982320","0,98",0%
Networking,E505-1604-58F8,"0,91","0,00","-0,39","0,516048","0,52",0%
Secret Manager,EE82-7A5E-871C,"0,04","0,00","0,00","0,037779","0,04",0%
Cloud DNS,FA26-5236-B8B5,"0,01","0,00","0,00","0,005842","0,01",0%
Cloud Storage,95FF-2EF5-5EA1,"0,00","0,00","0,00","0,000239","0,00",0%
