Dienstbeschreibung,Dienst-ID,Kosten (€),Sparprogramme (€),Andere Einsparungen (€),Ungerundete Zwischensumme (€),Zwischensumme (€),Prozentuale Änderung der Zwischensumme im Vergleich zum vorherigen Zeitraum
Compute Engine,6F81-5844-456A,"187,60","0,00","0,00","187,600237","187,60",Neu
Cloud Monitoring,58CD-E7C3-72CA,"15,09","0,00","0,00","15,093054","15,09",Neu
Networking,E505-1604-58F8,"17,14","0,00","-8,08","9,066832","9,07",Neu
Kubernetes Engine,CCD8-9BF1-090E,"45,93","0,00","-41,59","4,333756","4,33",Neu
Cloud DNS,FA26-5236-B8B5,"0,22","0,00","0,00","0,224249","0,22",Neu
Cloud Logging,5490-F7B7-8DF6,"0,00","0,00","0,00","0,004425","0,00",Neu
Cloud Storage,95FF-2EF5-5EA1,"0,00","0,00","0,00","0,000553","0,00",Neu
